"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff_pct"
"RGMA",0.000221369047295049,-1.82578007862432,0.601,0.651,1,-0.05
"PPP2R2B",0.000223916787842189,-0.465318210642236,1,0.998,1,0.002
"ZEB2",0.000227654605651946,-0.527401342461037,0.964,0.974,1,-0.01
"TNS1",0.000230700294932593,-0.829937272543477,0.906,0.924,1,-0.018
"PADI2",0.000242737631525546,-0.846501489506016,0.725,0.786,1,-0.061
"CTIF",0.000245665653023148,-0.730528207472573,0.964,0.968,1,-0.004
"OR4M1",0.000249981553661994,0.928197044375678,0.377,0.244,1,0.133
"ADSS",0.000252670668107078,-0.504495514758538,0.761,0.801,1,-0.04
"AC099489.1",0.000256238368235487,-0.384471421458027,0.877,0.916,1,-0.039
"SPAAR",0.000257609851291732,-0.665490578167347,0.674,0.753,1,-0.079
"B3GNT3",0.000257623259699642,-0.744918263698754,0.42,0.543,1,-0.123
"UBE3C",0.000263874457426309,-0.380933285323379,0.993,0.974,1,0.019
"ZNF831",0.000268419536802312,-0.325750095593059,0.971,0.95,1,0.021
"MAN1C1",0.000269807808409575,-0.815079751335008,0.942,0.96,1,-0.018
"BCR",0.000270428884605997,-0.683325910615007,0.891,0.896,1,-0.005
"ZFR2",0.000284738113986305,-0.713746819168461,0.732,0.776,1,-0.044
"DIS3L2",0.000286945574698041,-0.334024736566643,1,0.992,1,0.00800000000000001
"MCRS1",0.00028705521918181,-1.51348492779722,0.101,0.232,1,-0.131
"MROH1",0.000294853228826793,-0.449371939398533,0.891,0.886,1,0.005
"MCF2L",0.00029958996595092,-0.875762713411081,0.906,0.895,1,0.011
"SPOCK1",0.000306414100825748,-0.333852878311116,1,0.999,1,0.001
"JAM3",0.000327935047123489,-0.888737872782581,0.928,0.946,1,-0.0179999999999999
"ABCG1",0.000329342492263499,-2.07454714367662,0.833,0.837,1,-0.004
"LPGAT1",0.000353890866353944,-0.709652429684633,0.964,0.96,1,0.004
"DOCK9",0.000357840763697793,-0.333692489682055,1,0.993,1,0.00700000000000001
"ZDHHC18",0.000360254132078645,-0.947283275791619,0.58,0.634,1,-0.054
"TLDC1",0.000361696454908544,-0.542643550651916,0.797,0.842,1,-0.0449999999999999
"FA2H",0.000375254506125706,-0.808319780505048,0.775,0.82,1,-0.0449999999999999
"USP54",0.000382905760428512,-0.490465343868922,0.993,0.979,1,0.014
"VPS53",0.00040233316314403,-0.420199375937956,0.993,0.986,1,0.00700000000000001
"AGO2",0.000403423733494081,-0.746052676067064,0.783,0.843,1,-0.0599999999999999
"NFATC2",0.000407589175561985,-0.3464966192833,0.978,0.957,1,0.021
"ATP6V0A1",0.0004084966332042,-0.804419326654714,0.913,0.92,1,-0.00700000000000001
"STMN1",0.000413645100185944,-1.27102146294087,0.681,0.774,1,-0.093
"FAM227A",0.000416169457518271,-0.52882183088531,0.913,0.933,1,-0.02
"TSPAN9",0.000421273434504012,-0.491881988817679,0.928,0.937,1,-0.00900000000000001
"C10orf90",0.000421796457771211,-0.597200482297427,0.993,0.989,1,0.004
"RAB10",0.000424814613566265,-0.399836563454053,0.964,0.972,1,-0.00800000000000001
"TNRC18",0.000434559965872259,-0.586925777528237,0.877,0.894,1,-0.017
"CCDC88C",0.00043682815943364,-0.562083886722624,0.891,0.904,1,-0.013
"DNM2",0.000439469381911459,-0.75661711238384,0.877,0.915,1,-0.038
"LIMD1",0.000441434107546281,-0.482758361370802,0.935,0.936,1,-0.001
"MOBP",0.000446688960233542,-0.277478812509127,0.899,0.947,1,-0.0479999999999999
"PLA2G4C",0.000453455542199657,-0.92241461444086,0.949,0.932,1,0.0169999999999999
"COL26A1",0.000458804104912185,-0.426894818164761,0.964,0.974,1,-0.01
"PICALM",0.000459172472385236,0.306044119615168,0.993,0.992,1,0.001
"CLIP2",0.000464306685453479,-0.316679003769571,0.928,0.95,1,-0.0219999999999999
"SYTL3",0.000466771495069127,-0.433734520496723,0.935,0.952,1,-0.0169999999999999
"PHLDB1",0.000471315089851049,-0.848327239892259,0.638,0.707,1,-0.069
"CAMK1D",0.000482297527889506,-0.268576736351845,0.993,0.997,1,-0.004
"KPNA7",0.000483836128233824,-0.58855780670809,0.739,0.819,1,-0.08
"GDAP1L1",0.000488599605281012,-0.936991583327373,0.623,0.714,1,-0.091
"PPP2R2A",0.000505422572644112,-0.937141123604181,0.92,0.921,1,-0.001
"SOGA1",0.000509671680720979,-0.584925020854526,0.833,0.851,1,-0.018
"GFI1B",0.000531405586133277,-0.536963175586252,0.717,0.778,1,-0.061
"TCHP",0.000533453426697536,-0.633301727078228,0.565,0.645,1,-0.0800000000000001
"RPS6KA6",0.000541284366449661,0.289807345143676,0.957,0.93,1,0.0269999999999999
"RAP1GAP2",0.000549296721177486,-0.429186493610645,1,0.978,1,0.022
"RHOBTB1",0.000554417628647198,-0.420761690325524,0.971,0.948,1,0.023
"MEGF11",0.000564685721740487,-0.436763927410367,0.986,0.987,1,-0.001
"SH3BP4",0.000567738375224632,-0.427683497730469,0.754,0.827,1,-0.073
"DNAJC5",0.000568145685479841,-0.60105442091908,0.638,0.744,1,-0.106
"FSTL4",0.000574638508337328,-0.251609278437984,1,0.99,1,0.01
