"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LIPN",0.00233337504059443,0.544114422524427,0.669,0.609,1
"RFESD",0.00234341451839905,0.951155343785361,0.372,0.319,1
"MIEN1",0.00234991968908002,0.474911569365686,0.145,0.108,1
"HCLS1",0.0023724887115066,0.472749061324471,0.787,0.732,1
"CDKN2AIP",0.00237504522921427,-1.53098457441916,0.159,0.119,1
"HAND1",0.00238381527343563,-0.287479528908691,0.111,0.078,1
"BRCC3",0.00238532282014332,-0.330207653154315,0.321,0.264,1
"MSMO1",0.00239209491967933,-0.557902063704898,0.583,0.524,1
"MRPL46",0.00239733306842603,0.517800999958461,0.355,0.301,1
"LSM5",0.00241013731485355,0.549309114698654,0.431,0.362,1
"IFT22",0.00241700165812945,1.25585326625025,0.451,0.393,1
"THG1L",0.00242216658343233,-0.457130032093996,0.517,0.441,1
"PDE12",0.00242706926593874,1.10418319540967,0.538,0.475,1
"CFAP20",0.00242945393632047,-0.927090729513472,0.527,0.46,1
"C1orf35",0.0024313804317646,-0.870912504267201,0.15,0.111,1
"BTNL3",0.00243728793964061,0.252713418866242,0.552,0.483,1
"TPM3",0.002445163830612,0.311533176960407,0.862,0.841,1
"TUBB2B",0.00244958913587898,-1.06126047994574,0.196,0.15,1
"RAB4A",0.00245518968594785,-0.356816223526454,0.792,0.754,1
"TREM1",0.0024597862597715,0.372378114816637,0.638,0.569,1
"CCDC89",0.00246080605979355,0.255527055150744,0.105,0.073,1
"ZNF773",0.00246232706219502,0.65333001708611,0.559,0.499,1
"CCNG1",0.00246644977626753,-0.527811006544589,0.406,0.34,1
"PRAMEF1",0.00247083234200196,0.320144901952997,0.261,0.212,1
"ATP6V1G2",0.00247189519030624,-0.891345096609749,0.164,0.125,1
"ALG14",0.00247294942843829,0.385914032141114,0.953,0.947,1
"PCDHGA9",0.00247669357357339,-1.76469368827585,0.142,0.106,1
"MTERF4",0.00249379452990282,0.486595617649268,0.396,0.338,1
"LIPT1",0.00250168366661005,-0.252485072019546,0.184,0.141,1
"LECT2",0.00250501925749991,0.341926352860857,0.546,0.481,1
"C14orf28",0.00250636233568212,-0.751621699990055,0.211,0.166,1
"PCDHGC4",0.00251444775762015,0.331324838845351,0.126,0.092,1
"MRPS17",0.00253809529814678,-0.255856672122761,0.155,0.115,1
"ZNF181",0.00253923385359002,1.52878230906588,0.515,0.444,1
"PKNOX1",0.00254163879682503,-0.337645096076177,0.876,0.851,1
"TVP23C",0.00254488868335972,-0.340300811955951,0.33,0.278,1
"DPT",0.00254537714212294,0.4114917096526,0.101,0.07,1
"GOLGA6L7",0.0025486356147649,-0.88115692893021,0.17,0.129,1
"HLA-DQB1",0.00255979993703239,-0.841156218847305,0.321,0.266,1
"AKAP5",0.00256159495852963,0.777551100999887,0.355,0.291,1
"C8orf44",0.00256576876711246,-1.10674350665704,0.26,0.209,1
"HLA-DRB1",0.00257144503176883,0.405010415965687,0.507,0.442,1
"C16orf54",0.00257181032710238,0.303088914120972,0.156,0.116,1
"MRPL37",0.00258888924616296,-0.630409422062558,0.637,0.591,1
"TBC1D3G",0.00261327991926884,0.59808504022144,0.109,0.077,1
"CLCC1",0.00262067023774328,-1.0573095511285,0.26,0.208,1
"RICTOR",0.00262610775312069,-0.33198026863476,0.965,0.966,1
"FIGNL1",0.00263589783613019,-0.430864159830557,0.454,0.386,1
"NDUFA3",0.00263670368363276,-0.332878482917966,0.326,0.267,1
"SUPT7L",0.00264127037571233,-0.349379252977536,0.567,0.494,1
"MRPL32",0.00266273888898925,-0.766737239760793,0.578,0.517,1
"ADORA3",0.00267221833909625,-1.45396417614274,0.192,0.149,1
"CIART",0.0026905202952747,-1.75928869041779,0.227,0.179,1
"C12orf65",0.00269545583001805,-0.663965552499224,0.555,0.493,1
"KCNK1",0.00269856396018396,-0.337191627519277,0.901,0.878,1
"RBM4B",0.0027089708011903,-0.661604288114043,0.537,0.471,1
"SCPEP1",0.00271107912806898,-0.262454054713873,0.751,0.696,1
"IGBP1",0.002718444378595,-0.445019012173906,0.798,0.748,1
"CCL24",0.00273788198277138,0.497592949446189,0.483,0.416,1
"CLDN5",0.00273826390215771,-0.607824684070343,0.134,0.098,1
"MAGEB18",0.00274737728277713,0.442014030659277,0.117,0.084,1
"MRPS11",0.00276821974854471,-0.261468682164502,0.331,0.276,1
"SLC1A1",0.00277170171912844,0.331029822406192,0.909,0.894,1
"OR6C68",0.00277819345828435,0.522208591661214,0.128,0.094,1
"FOXA3",0.00281013148232112,0.651082165029949,0.3,0.25,1
"KHDC4",0.00281568675983265,-0.689178572636915,0.75,0.684,1
"MARS2",0.00281739076345673,0.419974603706697,0.124,0.09,1
"LYG2",0.00284268737651444,0.334000423861388,0.284,0.232,1
"ZCCHC3",0.00286908436888611,-1.39377524594922,0.116,0.082,1
"UBE2M",0.00287566795320036,-0.832868084669169,0.109,0.076,1
"CERS5",0.00287725288932819,-0.399848270645794,0.617,0.55,1
"ABCC5",0.00289050562492373,-0.251280424597913,0.942,0.944,1
"BHMT",0.00289302786751641,0.384530637176215,0.223,0.177,1
"NTPCR",0.00290814898752067,-0.538961837192903,0.75,0.706,1
"RFPL4AL1",0.00291262501368154,0.28993691668133,0.348,0.292,1
"NAP1L3",0.00291616793252965,-1.0027738749974,0.178,0.137,1
"POLE4",0.00293825814496606,-0.595877429588962,0.534,0.46,1
"PLEKHF2",0.00294077110131974,-0.314066667535382,0.671,0.612,1
"ASCL4",0.00294505489115139,0.31525697464753,0.115,0.082,1
"SARNP",0.00297203783744109,-0.634992087571785,0.262,0.21,1
"LY75",0.00298714658776126,-0.461070922162426,0.266,0.217,1
"SLITRK2",0.00299019845867435,-0.907862871748165,0.394,0.328,1
"GDAP1L1",0.00299109945172789,0.327624467199578,0.756,0.697,1
"RLN3",0.00300237694680718,-0.373680668940859,0.167,0.127,1
"ADGRF4",0.0030104689733608,0.334834097510791,0.686,0.635,1
"TMEM14A",0.00302116644099522,-0.771938663144964,0.607,0.548,1
"C12orf57",0.00304865516065235,0.401226178624149,0.124,0.09,1
"POU4F2",0.0030635647985055,0.442837939816911,0.118,0.085,1
"TALDO1",0.00306642865431875,-0.442735081647765,0.629,0.557,1
"RSL1D1",0.00307303955517378,-0.544380272447985,0.698,0.626,1
"B3GALT2",0.00308063001878142,-0.532042352065218,0.185,0.144,1
"ZNF311",0.00310483699835562,-0.332945140157519,0.557,0.491,1
"RBP7",0.00311030489382798,-0.442464609064458,0.753,0.681,1
"ZKSCAN2",0.00311143182374481,0.318061623815062,0.714,0.663,1
"PNO1",0.00311386898393353,1.06005802338659,0.256,0.209,1
"PTMA",0.00312483056996763,-0.282933882962044,0.558,0.571,1
"SURF1",0.00314332171525473,-0.765513258657416,0.199,0.155,1
"RABGGTB",0.00315192498586246,-0.916233978797519,0.423,0.363,1
"HTATIP2",0.00316791454068232,-0.810147551202386,0.68,0.622,1
"AP003071.5",0.00316837511374993,0.742107064274362,0.105,0.075,1
"RAB29",0.00319140962428463,-0.799650479879499,0.357,0.299,1
"C6orf48",0.0031985946290853,-1.21732497440412,0.139,0.103,1
"AL136373.1",0.00320169418545963,2.79478871267058,0.238,0.193,1
"MKKS",0.00320483975021341,-0.587253215110762,0.582,0.515,1
"RTCA",0.00321969336062399,-0.39727378642486,0.811,0.751,1
"CLDN8",0.00323510855269829,-0.297717658432939,0.114,0.082,1
"FLRT2",0.00323555132598074,0.253559142985933,0.959,0.955,1
"LIMD2",0.0032420585328183,-1.82947295827618,0.118,0.085,1
"EXOSC3",0.00324287064324985,-0.476091522625299,0.287,0.233,1
"FCGR1A",0.00324398869687168,-1.66662203860484,0.147,0.111,1
"SNCG",0.00324628389019482,0.526547320270705,0.141,0.106,1
"PCDHB16",0.00324686169043427,0.272099703450211,0.141,0.106,1
"SLC35F6",0.00326381053213584,0.585468104464975,0.224,0.177,1
"PCDHGC3",0.00326405047051399,-0.451690706757994,0.167,0.129,1
"SLX4",0.00328065473577568,-0.255839550085209,0.658,0.595,1
"ZNF879",0.00329763338802004,-0.555679247438442,0.495,0.428,1
"EIF3CL",0.00331488430699907,0.611561302493626,0.283,0.229,1
"CEBPZ",0.00332520243278319,-0.25282607863239,0.617,0.538,1
"SEPHS2",0.00333066228839475,-1.68905225302147,0.144,0.108,1
"BAG2",0.00333474628429013,-0.332352664425476,0.573,0.503,1
"B4GALT4",0.00335208918765634,-0.293098784496359,0.644,0.584,1
"C17orf47",0.0033535426778688,0.491185476914588,0.107,0.076,1
"SLC25A38",0.00336282281973489,-0.338839093445734,0.504,0.446,1
"PDZD11",0.00337031730265984,-1.30228926815617,0.205,0.161,1
"BBS5",0.0033736278119037,0.343000510637665,0.221,0.177,1
"BRIX1",0.00338244661993012,-1.60946537859688,0.355,0.292,1
"HIST2H2BF",0.00338275591087863,0.274075260042871,0.519,0.465,1
"LDB3",0.00339354105436499,-0.574648009431787,0.857,0.81,1
"GPATCH1",0.00339728695358819,0.272959149521243,0.896,0.88,1
"HIST1H3E",0.00341603962635125,-0.487073692330491,0.163,0.125,1
"CNP",0.00342254528592524,-0.492652851283374,0.626,0.645,1
"UBXN10",0.00342642664125743,0.472286263828544,0.436,0.374,1
"APELA",0.00342840830304866,0.298121750668646,0.75,0.679,1
"SRSF7",0.00344374774133332,-1.21145219368312,0.411,0.349,1
"ZNF607",0.00345621892844027,-1.5393051957632,0.253,0.203,1
"GOLGA8A",0.0034790421918279,-0.348068413671435,0.632,0.568,1
"TAS2R19",0.00348571959830503,0.388150896135324,0.116,0.083,1
"DIXDC1",0.00351765513068381,-0.305581141070212,0.939,0.94,1
"PSMD6",0.00351837796547276,-0.96013226719613,0.513,0.452,1
"PGAM5",0.00354293851208326,-0.450467450050505,0.249,0.204,1
"OR52E5",0.00355555648311735,0.275145943306938,0.206,0.164,1
"PCDHGC5",0.00356217235865821,0.684196024037218,0.119,0.087,1
"CD101",0.00357118965548761,0.330724609034453,0.747,0.693,1
"OR6V1",0.00359933728278087,0.716741210617599,0.115,0.083,1
"FBF1",0.0036045759722041,0.662317259163383,0.504,0.442,1
"FCRL5",0.00360961510026201,0.493986641898735,0.793,0.759,1
"B3GALT1",0.00361674056448423,0.363308172967241,0.312,0.257,1
"RPS15A",0.00364700909295348,-0.544456979069005,0.482,0.408,1
"SNRPA1",0.00364713973302611,-0.297415292838509,0.567,0.505,1
"IGFL3",0.00366484459294874,-0.385712969185859,0.166,0.125,1
"CCL2",0.00369305636978427,-0.910061044728589,0.161,0.124,1
"CSNK1E",0.00369374878056333,-1.70031026164669,0.222,0.172,1
"RRM2B",0.00369801854080595,0.536541504188053,0.818,0.762,1
"LILRB1",0.00372173959779286,-0.429056694533638,0.581,0.514,1
"PJVK",0.00377166391054542,1.57773751929944,0.372,0.316,1
"GTF3A",0.00377769422689647,-0.961999377997936,0.471,0.412,1
"ZNF594",0.00378569899267811,-0.421771470051526,0.561,0.486,1
"GJA1",0.00379948187641539,0.505516546464496,0.553,0.494,1
"C19orf12",0.00380865563466655,-0.421203867138208,0.527,0.455,1
"SDHD",0.00381367860019775,0.602614679343214,0.323,0.27,1
"PEX12",0.00384064238837294,-2.02624802701831,0.24,0.193,1
"CXCL3",0.00385422550411305,0.371902012827801,0.141,0.106,1
"LRG1",0.00385937915418109,-0.278978816017365,0.154,0.116,1
"AMT",0.00386743905757172,1.34977703125707,0.113,0.082,1
"CBLL1",0.00388373661739042,-0.421566262821385,0.594,0.527,1
"NPTN",0.00390065075694764,-0.325688559461099,0.937,0.917,1
"SEC13",0.0039008469586379,-0.60933184290306,0.727,0.663,1
"SHISA3",0.00390860857317553,0.650788524000954,0.172,0.134,1
"ACTR8",0.00390966820873952,-0.350261152405952,0.57,0.495,1
"OGN",0.00393091073679469,1.33110413202262,0.212,0.17,1
"OR51F2",0.00393990153743214,-0.378704645021886,0.143,0.106,1
"PIGG",0.00396049607903829,-0.623981501445687,0.695,0.653,1
"HELLS",0.00397361029502301,0.408274224298292,0.903,0.891,1
"NDUFA8",0.00398416754463076,-0.311495851023578,0.636,0.568,1
