"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff_pct"
"PTPRU",1.04988616858627e-16,0.52594961322605,0.894,0.856,2.0790895796514e-12,0.038
"SLC26A9",1.07795413435687e-16,0.592868820888789,0.614,0.479,2.13467257226691e-12,0.135
"COL8A2",1.12710424372946e-16,0.591722255325896,0.577,0.441,2.23200453385746e-12,0.136
"BTBD19",1.49644752852837e-16,0.66955004988727,0.269,0.154,2.96341504074474e-12,0.115
"SLIT1",1.90637939267786e-16,0.527266997110599,0.932,0.904,3.77520311131996e-12,0.028
"TBC1D24",3.08600668539498e-16,1.13963128743639,0.546,0.404,6.11121903908767e-12,0.142
"EPHB3",4.87577194941175e-16,0.540296822094935,0.388,0.256,9.65549119142009e-12,0.132
"MAP3K6",5.17693565236715e-16,0.642570446008947,0.279,0.162,1.02518856723827e-11,0.117
"WDR62",5.80216433554117e-16,0.638141158172983,0.794,0.7,1.14900260336722e-11,0.0940000000000001
"SLCO2B1",6.63439209905004e-16,0.672434230234344,0.831,0.776,1.31380866737488e-11,0.0549999999999999
"UMODL1",6.69206046307122e-16,0.563379218996981,0.794,0.719,1.32522873350199e-11,0.0750000000000001
"CASQ1",7.43385049997273e-16,0.797944167775035,0.449,0.309,1.4721254145096e-11,0.14
"PPP2R2C",8.16341127113324e-16,0.504599815079768,0.966,0.95,1.61660033402252e-11,0.016
"DGAT1",1.14619945287212e-15,0.571044569770716,0.27,0.159,2.26981877652266e-11,0.111
"SEMA3G",1.31380781287821e-15,1.43982526900721,0.296,0.178,2.60173361184272e-11,0.118
"RHBDF1",1.95867418992448e-15,1.26921904421633,0.366,0.241,3.87876249830746e-11,0.125
"MYO15A",1.98435351801723e-15,0.90835336513643,0.718,0.607,3.92961527172953e-11,0.111
"SLCO4A1",1.99294435276742e-15,0.668862057571725,0.514,0.392,3.94662770178531e-11,0.122
"CA4",2.01033214765983e-15,0.757042918319269,0.453,0.321,3.98106075201077e-11,0.132
"TTYH3",2.62196930895795e-15,0.568615567066194,0.456,0.324,5.19228582252942e-11,0.132
"SRC",2.63967992467921e-15,0.508178645392995,0.774,0.701,5.22735815484224e-11,0.0730000000000001
"SH2B3",2.6400063765642e-15,0.583211639713692,0.664,0.547,5.22800462751009e-11,0.117
"ALG12",3.23141109007791e-15,0.632683316800448,0.408,0.271,6.39916338168129e-11,0.137
"LLGL1",3.26533946068983e-15,0.683048137199337,0.403,0.271,6.46635173400407e-11,0.132
"CBFA2T3",4.76220113346319e-15,0.631495239817386,0.61,0.493,9.43058690459715e-11,0.117
"TRPM2",4.96511895639552e-15,0.723544000777742,0.82,0.739,9.83242506935004e-11,0.081
"TNNT3",5.6899091227208e-15,0.702358027597926,0.32,0.202,1.1267727035724e-10,0.118
"RAB3IL1",5.78107631560501e-15,0.785584302735003,0.419,0.286,1.14482654277926e-10,0.133
"FMNL1",6.08328261399125e-15,0.827093722931862,0.402,0.279,1.20467245604869e-10,0.123
"OPRL1",6.18413683141685e-15,1.50895173086721,0.366,0.243,1.22464461672548e-10,0.123
"ARHGAP33",6.5492843582566e-15,0.829324453557789,0.295,0.179,1.29695478146555e-10,0.116
"STK10",6.85101603726547e-15,0.530597252092314,0.949,0.936,1.35670670585968e-10,0.0129999999999999
"CAMK2B",7.40754700630777e-15,0.625340845868613,0.851,0.796,1.46691653365913e-10,0.0549999999999999
"SETD1B",7.52801769390933e-15,0.819959167798696,0.47,0.335,1.49077334392486e-10,0.135
"PTPN6",7.88660868798669e-15,1.15216764769672,0.355,0.23,1.561785118482e-10,0.125
"RARA",8.20367662603364e-15,1.05045079476229,0.578,0.458,1.62457408225344e-10,0.12
"APLN",8.82056855162457e-15,0.92093750480747,0.283,0.168,1.74673719027821e-10,0.115
"CST7",9.36160692924346e-15,1.19838169490087,0.294,0.179,1.85387902019808e-10,0.115
"DAGLA",1.07640011937448e-14,0.551326498489263,0.66,0.546,2.13159515639728e-10,0.114
"EPPK1",1.25362032404957e-14,0.590366734304425,0.263,0.155,2.48254432771536e-10,0.108
"OR2V2",1.26701162956147e-14,0.546243319551654,0.448,0.311,2.50906313002058e-10,0.137
"MYBBP1A",1.36791673581394e-14,1.46096492956106,0.345,0.228,2.70888551193234e-10,0.117
"BBC3",1.48309977362045e-14,0.738103817182997,0.325,0.203,2.93698248170058e-10,0.122
"RTN4R",1.77946767546793e-14,0.564389864406334,0.498,0.371,3.52387983772915e-10,0.127
"FGFRL1",1.92233110616676e-14,0.544714578584285,0.272,0.16,3.80679228954204e-10,0.112
"PHYHIP",2.10042362696098e-14,1.15830382251844,0.343,0.222,4.15946890847083e-10,0.121
"C20orf204",2.36382633497999e-14,0.570856021663623,0.169,0.083,4.68108529116087e-10,0.086
"ALS2CL",2.45424388547707e-14,0.897260093507852,0.461,0.333,4.86013916641024e-10,0.128
"ARID5A",3.01687714593926e-14,0.738370668218856,0.43,0.299,5.97432181210353e-10,0.131
"ZDHHC1",3.01753527679876e-14,0.529702584950305,0.525,0.384,5.97562510864458e-10,0.141
"LRP5",3.58405134914459e-14,0.568320299683207,0.888,0.844,7.09749688671104e-10,0.044
"CARM1",4.07786450493891e-14,0.607958126290676,0.759,0.667,8.07539507913052e-10,0.092
"RAB11FIP5",4.16233024452523e-14,0.767056952178074,0.906,0.873,8.24266258323331e-10,0.033
"PGF",4.79513239692544e-14,1.0818351292822,0.358,0.241,9.49580068563145e-10,0.117
"TACC3",4.86488119023575e-14,0.666196790039901,0.465,0.328,9.63392422102386e-10,0.137
"CTU2",4.97986310368377e-14,0.936411561487638,0.203,0.109,9.86162290422496e-10,0.094
"FIBCD1",5.3039653171176e-14,0.714269616699053,0.479,0.353,1.0503442517488e-09,0.126
"DRC3",7.4991218937776e-14,0.618043092157649,0.438,0.309,1.48505110862478e-09,0.129
"IKBKE",7.67385180425354e-14,0.525384798224543,0.472,0.347,1.51965287279633e-09,0.125
"FGF8",7.83138009955159e-14,0.960398012352361,0.242,0.142,1.5508482011142e-09,0.1
"SCN4A",8.7977421768041e-14,0.763533471106223,0.559,0.435,1.74221688327252e-09,0.124
"CLIC1",9.14780741950806e-14,1.34962120023296,0.394,0.268,1.81154030328518e-09,0.126
"DNAJB12",9.26890959239535e-14,0.552519985435847,0.548,0.412,1.83552216658205e-09,0.136
"NOS3",9.94134331981757e-14,0.84835828946543,0.413,0.296,1.96868421762347e-09,0.117
"GABRD",1.01371931878325e-13,0.754237918000412,0.255,0.15,2.00746836698647e-09,0.105
"DLG3",1.03324477927833e-13,0.565647554776168,0.883,0.808,2.04613463640487e-09,0.075
"MFSD2B",1.04100661954225e-13,0.99429277002658,0.521,0.403,2.06150540867952e-09,0.118
"ANAPC2",1.19951973406512e-13,1.06366440262657,0.289,0.178,2.37540892936917e-09,0.111
"ERFE",1.28100718135642e-13,0.799848896960933,0.282,0.173,2.53677852124012e-09,0.109
"EPHA2",1.41856430546661e-13,0.566718331873033,0.529,0.394,2.80918289411553e-09,0.135
"ZAP70",1.53446705783767e-13,0.7069440696406,0.519,0.382,3.03870511463594e-09,0.137
"FBRSL1",1.57564159927412e-13,0.724355605469578,0.61,0.509,3.12024305904255e-09,0.101
"KLHL30",1.5782481159655e-13,0.911780258419244,0.307,0.197,3.12540474404648e-09,0.11
"PNMA5",1.70722007028015e-13,1.823388739515,0.163,0.081,3.38080790517579e-09,0.082
"PHETA2",1.71233526517444e-13,0.631517706218586,0.204,0.113,3.39093752562495e-09,0.091
"DOK3",1.80285786962093e-13,0.778114523475236,0.261,0.154,3.57019943921033e-09,0.107
"BAIAP3",1.8087680795204e-13,0.870109393072908,0.242,0.142,3.58190342787424e-09,0.1
"MYL5",2.01185673661494e-13,1.31914555421813,0.179,0.093,3.98407989551856e-09,0.086
"PRKCD",2.04830508131362e-13,0.723906207668749,0.56,0.449,4.05625855252535e-09,0.111
"TBX10",2.15299377438977e-13,0.765631990517278,0.237,0.137,4.26357357142407e-09,0.1
"MMRN2",2.32931220443196e-13,0.562144440910444,0.53,0.395,4.61273695843661e-09,0.135
"CHERP",2.38574779632028e-13,0.778281596795649,0.22,0.125,4.72449636105305e-09,0.095
"NMUR1",2.42038326669051e-13,0.929783415385311,0.231,0.131,4.79308498302722e-09,0.1
"CHRNB2",2.48189318369012e-13,0.964100316315579,0.353,0.232,4.91489307166154e-09,0.121
"CYFIP1",2.61260963050841e-13,0.564484039877397,0.94,0.904,5.1737508512958e-09,0.0359999999999999
"CACNB3",2.64253149172447e-13,0.605539543703421,0.379,0.253,5.23300511306196e-09,0.126
"MMP17",2.70041036894258e-13,0.51705188306622,0.381,0.256,5.347622653617e-09,0.125
"AC068580.4",2.7944886396996e-13,0.767717877022123,0.193,0.105,5.53392585319713e-09,0.088
"AC093525.2",2.85471683140937e-13,0.583187443746706,0.194,0.105,5.65319574123997e-09,0.089
"KLHL26",2.88072190207504e-13,0.811241216841969,0.607,0.478,5.7046935826792e-09,0.129
"ABI3",3.03159304016923e-13,0.8558548010414,0.426,0.303,6.00346369744712e-09,0.123
"OGFR",3.06168046690508e-13,0.562209273109208,0.219,0.126,6.06304582861214e-09,0.093
"ADAM11",3.10892138442255e-13,0.748440430689185,0.413,0.295,6.15659701757197e-09,0.118
"USP21",3.33825848878343e-13,1.64683403697195,0.231,0.135,6.61075328533782e-09,0.096
"MUC6",3.46782915545518e-13,0.654336647746208,0.506,0.373,6.8673420765479e-09,0.133
"FOLR2",3.65371076745061e-13,0.584326272602392,0.318,0.205,7.23544343278245e-09,0.113
"P2RY2",3.66143917335553e-13,0.55556324168887,0.447,0.318,7.25074799499596e-09,0.129
"AGXT",3.80319361085039e-13,0.65727323476808,0.31,0.197,7.53146430756703e-09,0.113
"SH2D6",3.93290913670395e-13,0.660022566820475,0.412,0.287,7.78833996341482e-09,0.125
"CARD9",3.98685267156015e-13,1.41802239639187,0.204,0.115,7.89516434549056e-09,0.089
"CASKIN1",4.36665834363917e-13,1.0159447835747,0.259,0.159,8.64729351790865e-09,0.1
"SLC17A9",4.55113040036283e-13,0.871196703438868,0.303,0.194,9.01260353183852e-09,0.109
"CACNA1H",4.6497289023243e-13,0.737395012145818,0.458,0.339,9.2078581452728e-09,0.119
"FZR1",4.66723837056076e-13,1.02586973192,0.466,0.339,9.24253214522148e-09,0.127
"SNAI1",4.84726891809408e-13,0.828493959266568,0.197,0.108,9.59904663850172e-09,0.089
"CENPM",4.8847251878799e-13,1.21464735367369,0.363,0.24,9.67322128955856e-09,0.123
"TXN2",5.13845480235168e-13,0.670960519421232,0.538,0.406,1.0175682045097e-08,0.132
